City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
68,cadale,2.7603,46.3222,24.29,86,59,7.19,SO,2023-08-10 03:13:18
69,chibougamau,49.9168,-74.3659,17.79,72,100,2.06,CA,2023-08-10 03:02:44
70,cox's bazar,21.4532,91.9798,25.91,91,100,2.19,BD,2023-08-10 03:13:18
71,anka,12.1138,5.9243,22.7,95,48,4.59,NG,2023-08-10 03:13:19
72,puerto ayora,-0.7393,-90.3518,24.19,92,46,2.24,EC,2023-08-10 03:04:41
73,aasiaat,68.7098,-52.8699,3.04,91,93,4.75,GL,2023-08-10 03:04:40
74,northam,51.0333,-4.2167,17.01,84,1,4.45,GB,2023-08-10 03:13:20
75,georgetown,5.4112,100.3354,26.96,87,40,1.54,MY,2023-08-10 03:02:57
76,hasaki,35.7333,140.8333,32.22,71,76,4.21,JP,2023-08-10 03:01:50
77,al jawf,29.5,38.75,27.03,27,0,3.67,SA,2023-08-10 03:05:19
78,hancheng,32.5186,112.3522,31.0,65,1,2.85,CN,2023-08-10 03:13:21
79,walvis bay,-22.9575,14.5053,13.53,94,90,5.66,NA,2023-08-10 03:04:52
80,weno,7.4515,151.8468,28.43,73,92,3.3,FM,2023-08-10 03:04:46
81,hojai,26.0,92.8667,26.32,93,100,0.75,IN,2023-08-10 03:13:22
82,boende,-0.2167,20.8667,21.74,96,93,1.21,CD,2023-08-10 03:13:22
83,edinburgh of the seven seas,-37.0676,-12.3116,10.68,53,80,9.85,SH,2023-08-10 03:00:22
84,rio grande,-32.035,-52.0986,15.53,94,100,7.18,BR,2023-08-10 03:06:06
85,nampula,-15.1165,39.2666,14.16,98,11,1.9,MZ,2023-08-10 03:13:23
86,port alfred,-33.5906,26.891,14.54,91,0,1.34,ZA,2023-08-10 03:05:04
87,rikaze,29.25,88.8833,18.08,45,56,1.29,CN,2023-08-10 03:10:24
88,motygino,58.1831,94.7592,19.78,67,75,2.0,RU,2023-08-10 03:13:24
89,lazaro cardenas,17.9583,-102.2,28.22,79,100,0.66,MX,2023-08-10 03:06:40
90,chingola,-12.529,27.8838,11.56,49,0,3.12,ZM,2023-08-10 03:13:25
91,st. john's,47.5649,-52.7093,13.21,93,100,6.17,CA,2023-08-10 03:00:22
92,berezovyy,51.6667,135.7,22.4,51,95,2.4,RU,2023-08-10 03:13:25
93,knyaze-volkonskoye,48.4642,135.4567,19.05,69,100,4.03,RU,2023-08-10 03:13:26
94,port-cartier,50.0334,-66.8654,14.3,96,100,5.1,CA,2023-08-10 03:13:26
95,espumoso,-28.7247,-52.8497,14.88,97,78,2.11,BR,2023-08-10 03:13:26
96,papatowai,-46.5619,169.4708,5.56,74,52,3.35,NZ,2023-08-10 03:04:55
97,bocaiuva,-17.1078,-43.815,17.01,76,13,2.77,BR,2023-08-10 03:13:27
98,ilulissat,69.2167,-51.1,5.01,100,100,2.57,GL,2023-08-10 03:04:56
99,praia da vitoria,38.7333,-27.0667,22.14,94,40,2.75,PT,2023-08-10 03:05:24
100,tiksi,71.6872,128.8694,21.07,39,29,2.46,RU,2023-08-10 03:04:42
101,peniche,39.3558,-9.3811,20.06,97,3,1.7,PT,2023-08-10 03:13:28
102,pisco,-13.7,-76.2167,18.03,88,40,3.09,PE,2023-08-10 03:06:11
103,port elizabeth,-33.918,25.5701,13.16,94,0,3.09,ZA,2023-08-10 03:04:57
104,dudinka,69.4058,86.1778,14.79,60,100,9.92,RU,2023-08-10 03:06:06
105,ilebo,-4.3167,20.5833,21.77,72,55,0.4,CD,2023-08-10 03:13:29
106,haiku-pauwela,20.9219,-156.3051,28.01,60,20,10.29,US,2023-08-10 03:06:38
107,mogocha,53.7333,119.7667,23.69,46,100,3.67,RU,2023-08-10 03:13:30
108,mount gambier,-37.8333,140.7667,12.21,68,100,3.77,AU,2023-08-10 03:05:54
109,santyoku,37.4406,129.1708,25.79,95,100,13.36,KR,2023-08-10 03:06:58
110,isafjordur,66.0755,-23.124,7.56,76,33,7.34,IS,2023-08-10 03:00:46
111,punta del este,-34.9667,-54.95,15.06,95,100,2.24,UY,2023-08-10 03:02:18
112,kem',64.9555,34.5793,14.79,86,0,3.28,RU,2023-08-10 03:13:31
113,lorengau,-2.0226,147.2712,28.29,77,97,7.47,PG,2023-08-10 03:09:59
114,oltinko'l,40.8011,72.1634,31.69,21,0,1.74,UZ,2023-08-10 03:13:32
115,lihue,21.9789,-159.3672,26.31,72,12,7.82,US,2023-08-10 03:01:51
116,daru,-9.0763,143.2092,24.26,84,100,7.42,PG,2023-08-10 03:06:36
117,kodiak,57.79,-152.4072,12.73,88,75,2.06,US,2023-08-10 03:05:25
118,albany,42.6001,-73.9662,19.89,83,33,0.89,US,2023-08-10 03:00:02
119,hamilton,39.1834,-84.5333,23.06,91,100,3.6,US,2023-08-10 03:05:54
120,port lincoln,-34.7333,135.8667,14.79,56,33,4.5,AU,2023-08-10 03:06:19
121,udachny,66.4167,112.4,18.03,48,91,7.68,RU,2023-08-10 03:01:09
122,nar'yan-mar,67.6713,53.087,13.61,75,0,2.76,RU,2023-08-10 03:04:40
123,al kharijah,25.4514,30.5464,28.54,22,0,3.94,EG,2023-08-10 03:13:11
124,agua branca,-5.8922,-42.6361,23.44,49,21,2.75,BR,2023-08-10 03:11:35
125,maragogi,-9.0122,-35.2225,23.45,78,7,4.19,BR,2023-08-10 03:13:38
126,vallenar,-28.5708,-70.7581,17.51,61,100,0.88,CL,2023-08-10 03:13:39
127,amnat charoen,15.9167,104.75,30.0,67,100,5.86,TH,2023-08-10 03:13:39
128,linda,39.1277,-121.5508,30.19,43,0,3.09,US,2023-08-10 03:09:37
129,cabo san lucas,22.8909,-109.9124,29.47,78,20,8.23,MX,2023-08-10 03:12:52
130,malabo,3.75,8.7833,24.66,90,99,1.51,GQ,2023-08-10 03:13:41
131,luderitz,-26.6481,15.1594,22.05,44,99,1.45,NA,2023-08-10 03:06:39
132,flying fish cove,-10.4217,105.6791,25.82,73,40,7.2,CX,2023-08-10 03:06:10
133,kingston,17.997,-76.7936,30.53,89,75,4.63,JM,2023-08-10 03:04:16
134,uusikaupunki,60.8004,21.4084,13.67,85,30,5.89,FI,2023-08-10 03:13:42
135,hotan,37.0997,79.9269,31.05,21,13,1.31,CN,2023-08-10 03:02:23
136,longyearbyen,78.2186,15.6401,9.91,62,0,1.54,SJ,2023-08-10 03:05:07
137,la ronge,55.1001,-105.2842,15.4,51,100,3.96,CA,2023-08-10 03:13:11
138,nemuro,43.3236,145.575,20.69,94,100,7.26,JP,2023-08-10 03:05:17
139,idil,37.3411,41.8895,26.96,28,0,1.03,TR,2023-08-10 03:13:44
140,mount isa,-20.7333,139.5,26.87,24,12,3.6,AU,2023-08-10 03:04:45
141,nikolayevsk-on-amure,53.1406,140.73,22.16,47,61,2.71,RU,2023-08-10 03:06:20
142,leua,48.2156,18.6071,11.7,95,7,1.07,SK,2023-08-10 03:13:46
143,howard springs,-12.497,131.047,30.46,29,59,4.75,AU,2023-08-10 03:04:59
144,zheleznogorsk-ilimskiy,56.5768,104.1217,16.99,93,100,3.23,RU,2023-08-10 03:13:47
145,maholi,27.6667,80.4667,29.27,74,96,2.22,IN,2023-08-10 03:13:47
146,college,64.8569,-147.8028,21.99,71,75,3.09,US,2023-08-10 03:02:19
147,stanley,54.868,-1.6985,16.55,92,40,1.03,GB,2023-08-10 03:06:02
148,polyarnyy,69.1989,33.4478,17.61,78,0,3.53,RU,2023-08-10 03:05:21
149,turkeli,41.9476,34.3386,21.59,72,34,1.52,TR,2023-08-10 03:13:48
150,la sarre,48.8002,-79.1996,12.72,96,65,1.96,CA,2023-08-10 03:06:04
151,petropavlovsk-kamchatsky,53.0452,158.6483,22.33,49,40,4.0,RU,2023-08-10 03:04:47
152,sitka,57.0531,-135.33,15.94,82,100,2.57,US,2023-08-10 03:06:07
153,elk city,35.412,-99.4043,24.97,78,0,2.06,US,2023-08-10 03:13:49
154,queenstown,-31.8976,26.8753,8.24,81,21,1.43,ZA,2023-08-10 03:06:25
